date,ticker,factor_score
2018-04-30,NRG,0.0
2018-05-31,NRG,0.0
2018-06-29,FE,1.23449501273861
2018-06-29,VST,1.1958508487042159
2018-06-29,CNP,-0.15693666894320818
2018-06-29,D,-0.5043611857825449
2018-06-29,NRG,-0.5665711276370581
2018-06-29,AEP,-1.2024768790800149
2018-07-31,PPL,1.681897452668247
2018-07-31,FE,0.7652025979363256
2018-07-31,NRG,0.3108368896773387
2018-07-31,D,0.19501663150459808
2018-07-31,CNP,0.08652869180734148
2018-07-31,VST,-0.5635596609930369
2018-07-31,EXC,-1.0635310699289418
2018-07-31,AEP,-1.4123915326718723
2018-08-31,PPL,1.927502087744796
2018-08-31,D,0.5861103607053887
2018-08-31,NRG,0.19044687823914036
2018-08-31,CNP,0.18419054881819222
2018-08-31,FE,-0.007971088704769865
2018-08-31,VST,-0.6975741670558832
2018-08-31,EXC,-1.0578770221429998
2018-08-31,AEP,-1.124827597603864
2018-09-28,PPL,1.7100063727050507
2018-09-28,D,0.7857637454773667
2018-09-28,FE,0.2592553701809632
2018-09-28,CNP,0.1556025549555409
2018-09-28,NRG,0.1315317794528306
2018-09-28,AEP,-0.7124892065748238
2018-09-28,VST,-0.9114542008234772
2018-09-28,EXC,-1.418216415373451
2018-10-31,PPL,1.405892675945647
2018-10-31,PEG,1.15711368356941
2018-10-31,D,0.8148000736156802
2018-10-31,NRG,0.16260822550151033
2018-10-31,CNP,0.07827898755204442
2018-10-31,FE,-0.3295300344067678
2018-10-31,VST,-0.6864241240536532
2018-10-31,AEP,-1.1984353715068556
2018-10-31,EXC,-1.4043041162170153
2018-11-30,FE,1.1361617210735815
2018-11-30,PPL,1.1268600885467004
2018-11-30,PEG,0.7921824931068391
2018-11-30,D,0.47683499206938385
2018-11-30,CNP,0.09913654140719085
2018-11-30,NRG,-0.1001669699361591
2018-11-30,VST,-0.6603587918293609
2018-11-30,AEP,-1.3715009125865942
2018-11-30,EXC,-1.4991491618515813
2018-12-31,PPL,1.2846564868031054
2018-12-31,FE,1.2026636474689096
2018-12-31,PEG,1.0297894626556345
2018-12-31,CNP,0.08671061921799181
2018-12-31,NRG,-0.06910560123952031
2018-12-31,D,-0.33766252542292546
2018-12-31,VST,-0.6364708126774206
2018-12-31,AEP,-1.1516479259437917
2018-12-31,EXC,-1.4089333508619832
2019-01-31,PPL,1.2690795406503024
2019-01-31,FE,1.1992715866312567
2019-01-31,PEG,1.049333748590285
2019-01-31,CNP,0.2368813621987525
2019-01-31,D,-0.2572062922061875
2019-01-31,NRG,-0.29913013278678097
2019-01-31,AEP,-0.7278813416206983
2019-01-31,EXC,-1.0660371027146642
2019-01-31,VST,-1.4043113687422655
2019-02-28,PPL,1.3406587149414941
2019-02-28,PEG,1.157376289508565
2019-02-28,FE,0.7301360936148993
2019-02-28,CNP,0.23647358279303654
2019-02-28,D,0.09955595610921616
2019-02-28,NRG,-0.21663515859862684
2019-02-28,AEP,-0.5665245399010319
2019-02-28,EXC,-1.2696708134369634
2019-02-28,VST,-1.5113701250305889
2019-03-29,PPL,1.563314642475655
2019-03-29,PEG,0.8396113846877542
2019-03-29,FE,0.30112765092987503
2019-03-29,NRG,0.24326025595621584
2019-03-29,CNP,0.2179857472899323
2019-03-29,D,-0.002399449802767871
2019-03-29,AEP,-0.13359311262652823
2019-03-29,EXC,-1.3605023940693763
2019-03-29,VST,-1.66880472484076
2019-04-30,PPL,1.597795601145463
2019-04-30,FE,0.4779395412981684
2019-04-30,PEG,0.42867261750886687
2019-04-30,CNP,0.2619098611568463
2019-04-30,D,0.20041921034650884
2019-04-30,NRG,0.16004680964850004
2019-04-30,AEP,-0.011342681252225113
2019-04-30,EXC,-1.4038238608662916
2019-04-30,VST,-1.711617098985837
2019-05-31,PPL,1.310853321166788
2019-05-31,NRG,1.0739246634375545
2019-05-31,FE,0.4763188995663551
2019-05-31,PEG,0.4182267810540202
2019-05-31,CNP,0.04484138276300983
2019-05-31,D,-0.015786998950407985
2019-05-31,AEP,-0.2582887309974305
2019-05-31,VST,-1.469996581592645
2019-05-31,EXC,-1.5800927364472446
2019-06-28,PPL,1.2915825219827777
2019-06-28,NRG,1.038369411584844
2019-06-28,PEG,0.625577810790631
2019-06-28,FE,0.5938318289945065
2019-06-28,CNP,0.054607692226375
2019-06-28,D,-0.2607430745381073
2019-06-28,AEP,-0.42517806350096177
2019-06-28,VST,-1.4453869537269997
2019-06-28,EXC,-1.4726611738130655
2019-07-31,PPL,1.2797117284623347
2019-07-31,NRG,1.065144083268247
2019-07-31,PEG,0.8287025432539404
2019-07-31,FE,0.5079432335836401
2019-07-31,CNP,-0.020033823238549027
2019-07-31,D,-0.2489886318297042
2019-07-31,AEP,-0.7473914740946347
2019-07-31,VST,-1.0972621733679795
2019-07-31,EXC,-1.5678254860372953
2019-08-30,VST,1.3183192801816037
2019-08-30,PPL,1.0450195825714856
2019-08-30,NRG,0.6813541618351489
2019-08-30,PEG,0.647489209249546
2019-08-30,FE,-0.2817162569499186
2019-08-30,CNP,-0.32606785238738345
2019-08-30,D,-0.3455838598386771
2019-08-30,AEP,-1.0296879163083104
2019-08-30,EXC,-1.709126348353495
2019-09-30,VST,1.1567087803110319
2019-09-30,PPL,0.9899640744037923
2019-09-30,D,0.8779861053174635
2019-09-30,NRG,0.8696778087985758
2019-09-30,CNP,-0.3299804103271093
2019-09-30,FE,-0.3501246906077889
2019-09-30,AEP,-0.6050383264627137
2019-09-30,PEG,-1.0277337592039688
2019-09-30,EXC,-1.581459582229283
2019-10-31,PPL,1.0595478546388173
2019-10-31,VST,1.055480742635888
2019-10-31,NRG,0.9572989307213219
2019-10-31,D,0.8844505870032771
2019-10-31,CNP,-0.32273986162960067
2019-10-31,AEP,-0.48179235093828326
2019-10-31,FE,-0.617223892339596
2019-10-31,PEG,-1.00844909619276
2019-10-31,EXC,-1.526572913899064
2019-11-29,PPL,1.075005249239088
2019-11-29,NRG,1.0373578014119573
2019-11-29,VST,1.0105481360285307
2019-11-29,D,0.8491216028991797
2019-11-29,CNP,-0.3248012354759747
2019-11-29,AEP,-0.4310221064287098
2019-11-29,FE,-0.7556023681752646
2019-11-29,PEG,-0.9690249175962571
2019-11-29,EXC,-1.49158216190255
2019-12-31,PPL,1.0786194226661632
2019-12-31,NRG,1.0376761639165897
2019-12-31,VST,1.025608681240238
2019-12-31,D,0.8600136002888128
2019-12-31,CNP,-0.33497220543246237
2019-12-31,AEP,-0.5208209194602853
2019-12-31,FE,-0.7996501148069575
2019-12-31,PEG,-0.8630445881402824
2019-12-31,EXC,-1.4834300402718168
2020-01-31,PPL,1.1173067875911622
2020-01-31,VST,1.062906512182158
2020-01-31,NRG,1.0403333969145905
2020-01-31,D,0.7587831725415827
2020-01-31,CNP,-0.33679858726801604
2020-01-31,AEP,-0.5424999058829874
2020-01-31,FE,-0.7205560089088664
2020-01-31,PEG,-0.8688655132674142
2020-01-31,EXC,-1.5106098539022097
2020-02-28,PPL,1.2622539914394018
2020-02-28,VST,0.9650567199775045
2020-02-28,D,0.8648128899500779
2020-02-28,NRG,0.8213047294737196
2020-02-28,CNP,-0.2831636279958217
2020-02-28,AEP,-0.46029848184504496
2020-02-28,FE,-0.7166553114529902
2020-02-28,PEG,-0.8817502376856883
2020-02-28,EXC,-1.5715606718611583
2020-03-31,NRG,1.1086619507426712
2020-03-31,D,0.8463627076471634
2020-03-31,PPL,0.6766962255375348
2020-03-31,AEP,0.617098611177099
2020-03-31,VST,0.27958667911148066
2020-03-31,CNP,-0.291382276690548
2020-03-31,PEG,-0.34907557586920585
2020-03-31,FE,-0.8272240030440164
2020-03-31,EXC,-2.0607243186121784
2020-04-30,NRG,1.0680655690101126
2020-04-30,AEP,0.8839580458054077
2020-04-30,D,0.8684609391032283
2020-04-30,PPL,0.3704818159394016
2020-04-30,VST,0.35042712329399717
2020-04-30,CNP,-0.28985001571011293
2020-04-30,PEG,-0.3271040120732315
