Date,strategy,long_book,short_book,cum_strategy
2022-06-28,0.002971541123222095,-0.0016181762389614394,0.004589717362183535,0.07846079572408238
2022-06-29,0.005078689468469392,0.0036674571216074123,0.0014112323468619798,0.08395189520133073
2022-06-30,-0.004657911874851017,0.0006960549151652803,-0.005353966790016297,0.07891468334869334
2022-07-01,-0.009882111739683095,0.004031775733745465,-0.01391388747342856,0.06830523610151151
2022-07-05,0.01783411558737154,-0.011119525654000033,0.028953641241371574,0.0875284199048294
2022-07-06,-0.0034236180211958196,0.0004105841202083232,-0.0038342021414041424,0.08381150428807116
2022-07-07,-0.00551345760418763,-0.001375406848115921,-0.004138050756071708,0.07785239824302503
2022-07-08,-0.0005413531159605333,-0.0013695524109713663,0.000828199295010833,0.07726905739962864
2022-07-11,0.0009214547876754539,0.0021343626859897154,-0.0012129078983142616,0.07826216961391719
2022-07-12,-0.0018997085080409034,-0.0011553955110222393,-0.0007443129970186638,0.0762157302310047
2022-07-13,0.0021944836672219423,-0.0022284844774690246,0.004422968144690967,0.07858006136759821
2022-07-14,0.0004998764129895779,0.0010376612636216174,-0.0005377848506320393,0.07911935287812
2022-07-15,-0.0006868262981526846,0.0013527352080873597,-0.0020395615062400443,0.07837843979613845
2022-07-18,0.0015951624717208202,-0.0028794405707140104,0.0044746030424348306,0.08010000133374384
2022-07-19,-0.003650874519172193,0.001765917714853081,-0.005416792234025275,0.07616388127294038
2022-07-20,-0.0010792736813458222,-0.0052897688986311055,0.004210495217285283,0.07500303246853157
2022-07-21,0.0010061050862247762,0.000991282738470898,1.4822347753878158e-05,0.07608514275425615
2022-07-22,0.0028820753455077097,0.0052112104105617625,-0.002329135065054052,0.07919097468482672
2022-07-25,-0.004127922035224692,0.003971622941439068,-0.00809954497666376,0.0747453404087568
2022-07-26,-0.0026746118267612657,0.0033887068454569675,-0.006063318672218233,0.07187465450707364
2022-07-27,0.0006161755065660664,0.0009149584843556358,-0.0002987829777895695,0.07253532093762316
2022-07-28,-0.009976080037027298,0.0078002296724886434,-0.017776309709515943,0.061888816221784326
2022-07-29,0.00745161876447192,0.012063120442086728,-0.004611501677614807,0.06983116176513349
2022-08-01,0.014231680403744947,-0.004656912524036919,0.018888592927781868,0.08516551493370894
2022-08-02,-0.005577583457213537,-0.006269266175579922,0.000691682718366385,0.07912976181504816
2022-08-03,0.0054598885586023055,0.0028179167532024147,0.00264197180539989,0.08503780400406225
2022-08-04,-0.0020914950092824564,-0.0023578541970792903,0.00026635918779683383,0.08277082436678418
2022-08-05,-0.006279452064256347,-0.009032571282513937,0.0027531192182575896,0.07599291991356005
2022-08-08,-0.020887486642961355,-0.00016301942629636467,-0.02072446721666499,0.05375122734029447
2022-08-09,0.00297758566288348,0.006850248183480061,-0.0038726625205965813,0.0568935378147295
2022-08-10,0.0007469240795967664,0.0059201605729360665,-0.005173236493339299,0.05768325193922652
2022-08-11,-0.0013331870940980733,0.002860521166300247,-0.004193708260398321,0.056274101817192834
2022-08-12,-0.0009198607274541939,0.011096413970480348,-0.01201627469793454,0.05530292349638222
2022-08-15,0.0038520516636903128,0.008725674974862289,-0.004873623311171977,0.059375844393124044
2022-08-16,-0.002343472309534655,-0.00020024798632542365,-0.0021432243232092315,0.05689613313858177
2022-08-17,-0.00035964656147418337,-0.0020964091909648373,0.0017367626294906542,0.056516092422727926
2022-08-18,0.0019012522706415554,0.0046872753796107286,-0.0027860231089691734,0.05852670677931404
2022-08-19,-0.002278997169773274,-0.0035605951905519906,0.001281598020778716,0.05611707422625356
2022-08-22,-0.0036631916698541944,-0.012675425694393937,0.009012234024539743,0.052255392316375326
2022-08-23,-0.0018376728705634515,-0.004021364036947133,0.0021836911663836818,0.050323466796252214
2022-08-24,0.0036123137015796193,0.00573280340478349,-0.0021204897032038703,0.05412442564114328
2022-08-25,0.0014543052257022394,0.005727798095274455,-0.004273492869572217,0.05565855958100485
2022-08-26,-0.0025348769137211497,-0.012966941943185172,0.010432065029464022,0.052985983825917016
2022-08-29,-0.003477640041331451,-0.0009328348850909062,-0.0025448051562405446,0.04933043762669542
2022-08-30,-0.0034271722886791128,-0.011282737989936929,0.007855565701257814,0.04574035685580302
2022-08-31,0.002083886120215372,-0.00018248563005322837,0.0022663717502686004,0.04792183285514584
2022-09-01,0.002168297239727836,0.006737634687978847,-0.004569337448251011,0.05019650406322751
2022-09-02,0.0003632577408049745,-0.00215830770551161,0.0025215654463165847,0.050578065371048364
2022-09-06,-0.003624075799313317,-0.005661066004021017,0.0020369902047077003,0.04677758160926615
2022-09-07,0.0011134412300284925,0.011757419240001135,-0.010643978009972643,0.04794375604016521
2022-09-08,-0.0021920128932081417,1.8981099266219756e-05,-0.0022109939924743614,0.0456491656202378
2022-09-09,-0.003822776611785507,0.005048304855863291,-0.008871081467648798,0.04165951307958715
2022-09-12,0.001330806736839061,0.006598914956700227,-0.005268108219861165,0.04304668340016127
2022-09-13,0.002872319988528654,-0.011696575401713451,0.014568895390242104,0.04604695404378911
2022-09-14,-0.0018188790233026988,0.004091592797697106,-0.005910471820999805,0.044146050462580355
2022-09-15,0.00147349939637047,-0.007189634618289605,0.008663134014660075,0.04568573311981261
2022-09-16,0.00501395439863751,0.002584907890174619,0.002429046508462892,0.050941919829625926
