date,lmp_zscore,congestion_frac_z,reserve_tightness_z,event_flag,gsi
2024-07-06,-0.788069579580067,-0.9817293358275024,0.0,0.6597539553864472,0.43051973234315005
2024-07-07,-0.6375628992433006,-0.9704124810783644,0.0,0.7578582832551991,0.455740695827128
2024-07-08,1.4819873141236841,-0.9571665762285011,0.0,0.8705505632961241,0.6144997980931434
2024-07-09,0.060455493470655104,-0.9385492543373075,0.0,1.0,0.539924147300656
2024-07-10,0.4423150255106357,-0.469353049927515,0.0,1.0,0.5849312912870627
2024-07-11,1.654914804813926,-0.7382371265925696,0.0,1.0,0.6545677733795714
2024-07-12,-0.04874691861225616,-0.9270889434074135,0.0,0.8705505632961241,0.5137040839449594
2024-07-13,-0.765971680185906,-0.6174867358167695,0.0,0.7578582832551991,0.4618853498168541
2024-07-14,0.7219695687786918,-0.9042061561275238,0.0,0.6597539553864472,0.5344191413878997
2024-07-15,1.2497271709472677,-0.8619917693162414,0.0,0.6597539553864472,0.5713619143162748
2024-07-16,-0.19845896493023477,-0.8843025487655742,0.0,0.7578582832551991,0.4886022052943653
2024-07-17,-0.9824729333180815,-0.8688823149076205,0.0,0.8705505632961241,0.4538809591520623
2024-07-18,-0.5133097171670503,-0.8509739953944481,0.0,1.0,0.5053221023807614
2024-07-19,-0.9670977123623973,-0.6837613060132265,0.0,1.0,0.48203676475862245
2024-07-20,-1.11059216744033,-0.8169896624578868,0.0,1.0,0.4669192862348994
2024-07-21,-0.5264801361798861,-0.8016991174929442,0.0,1.0,0.506497194359135
2024-07-22,0.44624838236607944,-0.7929695655720094,0.0,1.0,0.5717094935922383
2024-07-23,-0.45577852090285326,-0.790792800775877,0.0,1.0,0.5116650652408149
2024-07-24,-0.5326605823101317,-0.7744555765790101,0.0,1.0,0.5072203121551992
2024-07-25,-0.5490370999884301,-0.4195383708669521,0.0,1.0,0.5209167612146484
2024-07-26,-0.27816816593500343,0.1286379909315228,0.0,1.0,0.5618153718931466
2024-07-27,0.501676000814235,-0.70963637232182,0.0,1.0,0.5788768845408732
2024-07-28,1.231396027958669,-0.379232945213026,0.0,1.0,0.6412916958133685
2024-07-29,1.6871312524275337,-0.6479561644788353,0.0,1.0,0.6604772433085508
2024-07-30,1.0427098021435424,-0.7157790637550591,0.0,1.0,0.6146898591531087
2024-07-31,1.0427098021435424,-0.7157790637550591,0.0,1.0,0.6146898591531087
2024-08-01,1.0238561202143446,1.1690349471341075,0.0,1.0,0.6919668641448775
2024-08-02,1.331565784648901,-0.7089981706134797,0.0,0.8705505632961241,0.6148120463621171
2024-08-03,-0.2992460285606788,-0.35795254495731466,0.0,1.0,0.5401355753894
2024-08-04,0.5799131810193907,-0.3368740750938803,0.0,1.0,0.5996244589390477
2024-08-05,0.11087646684474976,2.3910565407837643,0.0,1.0,0.6820191203223068
2024-08-06,-0.31216937949340773,-0.5498080558427813,0.0,1.0,0.5312800390403236
2024-08-07,-0.8099628462422664,-0.6673808645971456,0.0,1.0,0.4931949408923012
2024-08-08,-0.21967891702573733,1.1265937894670515,0.0,1.0,0.6072961467594113
2024-08-09,-1.1112810012345706,0.1445913041943674,0.0,1.0,0.5069392375924606
2024-08-10,-1.1705344452236734,-0.6969844659632185,0.0,1.0,0.46792335090328774
2024-08-11,-1.0726991150023801,-0.6894668281364289,0.0,1.0,0.4747589411608235
2024-08-12,2.1153661245491007,-0.6855286954951064,0.0,1.0,0.687460712657644
2024-08-13,-0.7212632652305978,-0.34511986720593024,0.0,1.0,0.5125357878510465
2024-08-14,0.5666141671860291,-0.16610963560936212,0.0,1.0,0.6058530429953453
2024-08-15,-0.5461116398764431,-0.34884973497856453,0.0,1.0,0.5240571517174636
2024-08-16,-0.9057964853372364,2.936069188583697,0.0,0.8705505632961241,0.6175323683295902
2024-08-17,-0.7495581912199507,-0.6979435743624167,0.0,1.0,0.49594847165356926
2024-08-18,0.22154788617793833,-0.6809820354650186,0.0,1.0,0.5613956076008202
2024-08-19,-0.5536444109601152,-0.6644468085454514,0.0,1.0,0.5104050889132652
2024-08-20,-0.6206410272955486,-0.4343409800853271,0.0,1.0,0.5155263906767414
2024-08-21,0.3478650711220333,-0.08599526021207991,0.0,1.0,0.594607868899299
2024-08-22,-0.7081815337812559,1.0451169654712928,0.0,1.0,0.5713344379758868
2024-08-23,0.31699986945896247,-0.49705470646006633,0.0,1.0,0.5754227118614281
2024-08-24,-0.3642972809806611,-0.16151016372931076,0.0,1.0,0.5439839244459014
2024-08-25,-0.2922215937179954,-0.5592702056030274,0.0,1.0,0.5322156351853409
2024-08-26,1.8987266357821295,-0.6220134160237887,0.0,1.0,0.6756645500511508
2024-08-27,2.5194608828008582,-0.6173581619962829,0.0,1.0,0.7172408021035455
2024-08-28,1.333383102942562,0.1302282812997898,0.0,1.0,0.6693183852503287
2024-08-29,0.5565445594281693,0.3992313582307868,0.0,1.0,0.6287376105548275
2024-08-30,-0.5094827438490128,-0.622146614300731,0.0,1.0,0.5151117081475354
2024-08-31,-0.5094827438490128,-0.622146614300731,0.0,1.0,0.5151117081475354
2024-09-01,-1.1908006342401463,-0.5770526724518864,0.0,1.0,0.471569429698495
2024-09-02,0.38815840016800734,-0.23544109965781476,0.0,1.0,0.5910671808587916
2024-09-03,0.402844687585899,0.7567196997044718,0.0,1.0,0.6333862999934129
2024-09-04,-0.78418343671781,0.9580978237885686,0.0,1.0,0.5626418468766697
2024-09-05,-0.9771244534150066,-0.3797355794325375,0.0,1.0,0.49403605396264383
2024-09-06,-1.2444296148811747,-0.2548314333420039,0.0,1.0,0.4814200492853382
2024-09-07,-1.0311099668042967,-0.47115012589916855,0.0,1.0,0.4866280803005816
2024-09-08,-0.3079643957973213,1.016147085596144,0.0,1.0,0.5968085021800179
2024-09-09,0.5775935574246388,0.7131969333402286,0.0,1.0,0.6432227760508188
2024-09-10,1.1143523051561646,0.0898517403400925,0.0,1.0,0.6530339761912481
2024-09-11,1.1956187414442971,0.4451779055067092,0.0,1.0,0.6732569954923994
2024-09-12,1.1340442500187005,0.11684647344504683,0.0,1.0,0.655471553061457
2024-09-13,1.4453106672030769,0.9158211354321824,0.0,1.0,0.7095132584565461
2024-09-14,0.6862333524893816,-0.5730672360004442,0.0,1.0,0.5968710886659403
2024-09-15,0.03511440703722763,0.08526760242282722,0.0,1.0,0.5808937772367663
2024-09-16,2.4806926739612374,1.9944146467880965,0.0,1.0,0.8234801218802532
2024-09-17,1.9598820552239318,0.5241496756565818,0.0,1.0,0.7274983735006197
2024-09-18,1.2466488078553941,2.2318210777383514,0.0,1.0,0.7511024654294576
2024-09-19,1.6590225605955717,-0.35753471333517367,0.0,1.0,0.670704224317406
2024-09-20,1.778135807166498,-0.014698912005031303,0.0,1.0,0.692929932477557
2024-09-21,0.38656124951428344,4.177979038068944,0.0,1.0,0.7257707499676189
2024-09-22,-0.34763106587908044,-0.14537953087799405,0.0,1.0,0.5457671151548116
2024-09-23,-0.24225870194346763,0.24276780113039007,0.0,1.0,0.5689647449175351
2024-09-24,-0.3496354579627886,-0.4539890615483315,0.0,1.0,0.5327747585713003
2024-09-25,0.9842338642740357,-0.6572218590760728,0.0,1.0,0.6132313468234327
2024-09-26,0.24385166842747236,0.7781284034176779,0.0,1.0,0.6236787947042347
