date,lmp_zscore,congestion_frac_z,reserve_tightness_z,event_flag,gsi
2018-01-01,,,,0.8705505632961241,
2018-01-02,,,,1.0,
2018-01-03,,,,1.0,
2018-01-04,,,,1.0,
2018-01-05,,,,1.0,
2018-01-06,,,,1.0,
2018-01-07,,,,1.0,
2018-01-08,,,,1.0,
2018-01-09,,,,0.8705505632961241,
2018-01-10,,,,0.7578582832551991,
2018-01-11,,,,0.6597539553864472,
2018-01-12,,,,0.5743491774985175,
2018-01-13,,,,0.5,
2018-01-14,,,,0.4352752816480621,
2018-01-15,,,,0.37892914162759955,
2018-01-16,,,,0.3298769776932236,
2018-01-17,,,,0.2871745887492588,
2018-01-18,,,,0.25,
2018-01-19,,,,0.21763764082403103,
2018-01-20,-1.3195842410052014,-0.28347403139094696,-1.4322068675192692,0.1894645708137998,0.30589575599645813
2018-01-21,-1.2954071260817226,-0.2884237509606226,-2.2211830443314575,0.16493848884661183,0.2773232071538024
2018-01-22,-1.2540234061583215,-0.2783753029318527,-1.7311223012631818,0.14358729437462942,0.2936334860813731
2018-01-23,-1.1720425437993711,-0.27721559074648855,-1.3501584053795896,0.12500000000000003,0.3090579006196186
2018-01-24,-0.9974791168562929,-0.26714676216330235,-0.6922943396070464,0.10881882041201553,0.34061662219434363
2018-01-25,-0.7312995874194144,-0.2501432683941196,-0.5439874244447649,0.09473228540689989,0.3619009866518269
2018-01-26,-0.35473969239893666,-0.2310812621435551,-0.3398485986557612,0.0824692444233059,0.39276440129239326
2018-01-27,-1.0361208833361835,-0.2542360098602831,-1.3124574364076416,0.0717936471873147,0.3123525732312518
2018-01-28,-0.9279730829580385,-0.24918790312902772,-1.7724212911765496,0.0625,0.3030465887998697
2018-01-29,-0.8435008464987644,-0.24462945315828885,-0.6325479090941802,0.054409410206007765,0.3456501975795822
2018-01-30,-0.7186644965228889,-0.22317902983095905,0.12665574772496488,0.047366142703449944,0.37911668698520046
2018-01-31,-0.727706798386621,-0.16642708335416706,0.14612137663740285,0.04123462221165295,0.38060765752079634
2018-02-01,-0.8257424550493202,-0.21448227683374704,-0.7663599143116542,0.03589682359365736,0.34085293452396603
2018-02-02,-0.26267519982784276,-0.2073835433184498,0.2442523052118037,0.03125,0.41167658254693523
2018-02-03,-0.3331652901838779,-0.15228901905826125,0.238912363264402,0.027204705103003893,0.4084880560679113
2018-02-04,-0.894965136511922,-0.21146250370336536,-0.7407346442072864,0.02368307135172497,0.33538602580741417
2018-02-05,-0.7397214875974323,-0.21740368515420516,-0.05903322450150568,0.020617311105826482,0.36775156979456974
2018-02-06,-0.7517393862762395,-0.21363239021920563,-0.026816253961301637,0.017948411796828663,0.36778107795993137
2018-02-07,-0.7420235927114122,-0.2058621057907116,-0.30423071053497197,0.015625000000000007,0.35915689906012715
2018-02-08,-0.6547494695048843,-0.20493565201493344,-0.06582332866609156,0.013602352551501933,0.37265729179290774
2018-02-09,-0.6800424976131946,-0.2027996932323722,-0.02199736863996822,0.01184153567586249,0.3722568310044853
2018-02-10,-0.8781529000220345,-0.21163319926261204,-1.0104699510363269,0.01030865555291324,0.32550238999431497
2018-02-11,-0.874006133987081,-0.20495037474636998,-1.6364311022113809,0.008974205898414338,0.304991752930812
2018-02-12,-0.8253892442748568,-0.20182018260882192,-0.8430626884548907,0.007812500000000002,0.3346346614911456
2018-02-13,-0.6441722014578357,-0.19791932262224882,-0.37055663148926754,0.0068011762757509715,0.36247683685193766
2018-02-14,-0.7764366319212584,-0.19827334790378975,-0.6892689133632356,0.005920767837931244,0.3428886531061734
2018-02-15,-0.8374056753804123,-0.19203185612525908,-1.379832451719305,0.00515432777645662,0.315950361745245
2018-02-16,-0.7338994159197314,-0.18947860582500842,-1.4936677432593948,0.004487102949207169,0.3190625710297104
2018-02-17,-0.7211175302649518,-0.18348029701411273,-1.095946843569457,0.003906250000000001,0.3333348616544334
2018-02-18,-0.7557023827422046,-0.16161868757772455,-1.1070539530279424,0.0034005881378754853,0.3314940189545311
2018-02-19,-0.7104735026211013,-0.1600006675258155,-1.280101138226725,0.0029603839189656215,0.3287424249919716
2018-02-20,-0.72876514360043,-0.16153472927337165,-1.292218107312741,0.0025771638882283094,0.32699768104639043
2018-02-21,-0.624772274472778,-0.16852920049290562,-1.4009312671031264,0.002243551474603584,0.32996528883236337
2018-02-22,-0.6687726614738523,-0.16554636375749957,-1.179598450737863,0.001953125,0.3344904111372519
2018-02-23,-0.6957193556364957,-0.18620112883674414,-1.1495360779184483,0.0017002940689377426,0.33279750410242837
2018-02-24,-0.7205280654143434,-0.1722677010126829,-1.4406847143863981,0.0014801919594828095,0.3219861797445578
2018-02-25,-0.6807473691846757,-0.15880403485066003,-1.7917192197478697,0.0012885819441141558,0.31346932056893223
2018-02-26,-0.561471385100425,-0.1611831948829597,-1.2582289868184922,0.001121775737301792,0.33907990800649385
2018-02-27,-0.48823636704528633,-0.14369489404246646,-0.757615645350994,0.0009765625,0.361356251141845
2018-02-28,-0.6396148162739144,-0.14629607298885183,-1.2486046416568193,0.000850147034468872,0.33477070987381324
2018-03-01,-0.5810860601746555,-0.14894573005653028,-1.1015908721426078,0.0007400959797414059,0.3434461758948752
2018-03-02,-0.5172369084294586,-0.15669869143012424,-0.8788789645521482,0.0006442909720570772,0.3547891054558513
2018-03-03,-0.4973316088794602,-0.1160541748334422,-0.9100444758312887,0.0005608878686508959,0.3567582861092306
2018-03-04,-0.520956586332358,-0.1161047216964138,-1.3570152912381206,0.0004882812500000004,0.3402712633200549
2018-03-05,-0.3140584505851468,-0.04344128020686904,-0.4439510336581738,0.0004882812500000004,0.38752759101793155
2018-03-06,-0.30042213388579253,-0.11983983678278287,-0.5238717818210775,0.0005608878686508959,0.38260027166125965
2018-03-07,-0.4409058526071587,-0.14371083051510236,-0.5297054375492812,0.0006442909720570772,0.3720581209488927
2018-03-08,-0.18591217497752488,-0.12969393064629148,-0.2650051855395445,0.0007400959797414059,0.39847944943687924
2018-03-09,-0.06097463660676664,-0.14228824845037566,-0.1315971948125336,0.000850147034468872,0.41074729610220245
2018-03-10,-0.44285976531620597,-0.1278722251185649,-0.5485542671154491,0.0009765625,0.37200934840346445
2018-03-11,-0.42862028609662445,-0.12023468244468043,-1.2448000572155058,0.001121775737301792,0.35009046694510837
2018-03-12,0.1925791181325588,-0.09500164375868594,-0.29499811919680896,0.0012885819441141558,0.42424022270394884
2018-03-13,0.8735253893150992,-0.027603678409011793,-0.04635414878698272,0.0014801919594828095,0.48076176318832076
2018-03-14,0.693898326844305,-0.05816606582921019,0.11416859999606177,0.0017002940689377426,0.4728969664902793
2018-03-15,0.15566992132605914,-0.10673442907133898,-0.03324822326413216,0.001953125,0.4301154215182938
2018-03-16,0.16119511667348882,-0.08070464758664576,-0.22046336741517628,0.002243551474603584,0.4253714012694737
2018-03-17,-0.4349102310107769,-0.07386849133426701,-0.8407971202863558,0.0025771638882283094,0.3652881347007095
2018-03-18,-0.517123549555814,-0.1019657552561535,-1.4276978996771743,0.0029603839189656215,0.3391306511592117
2018-03-19,-0.0118114456090851,-0.09060382619793385,-0.5927870244169859,0.0034005881378754853,0.40118793160792887
2018-03-20,-0.09908141406930368,-0.0677201891487027,-0.2470949304701372,0.003906250000000001,0.4079223376651793
2018-03-21,0.03794132565933621,-0.07983663526427105,-0.0592675927832233,0.004487102949207169,0.42290037425755145
2018-03-22,0.46781888600416044,-0.07141010794156884,-0.11110402677535414,0.00515432777645662,0.45028218617666865
2018-03-23,0.13729902441894098,-0.09363726811949186,-0.1817866520222681,0.005920767837931244,0.4250802755645647
2018-03-24,-0.3282896896476455,-0.05955557094924338,-1.0635468933889058,0.0068011762757509715,0.366201151895671
2018-03-25,-0.5054330573664644,-0.10927581892146312,-1.3276116796679216,0.007812500000000002,0.34366945606491067
2018-03-26,-0.000640141651758277,-0.07821903610179413,-0.29505525985523945,0.008974205898414338,0.41320915294189553
2018-03-27,-0.10324802328985286,4.717116848837403,-0.6054144345277762,0.01030865555291324,0.5244826156293543
2018-03-28,-0.4072357591665541,-0.15583263627210514,-0.8957216107694831,0.01184153567586249,0.36327676620328864
2018-03-29,-0.5551606630484188,-0.14645637721336346,-1.3340906314749184,0.013602352551501933,0.3394576052464433
2018-03-30,-0.5624319075992732,-0.15973427786565034,-1.522197073390485,0.015625000000000007,0.3324527921359635
2018-03-31,-0.6502656662316164,-0.17491741327948282,-1.7883966910724107,0.017948411796828663,0.3174397687650244
2018-04-01,-0.68592190480711,-0.19395650826055907,-2.192414220923723,0.020617311105826482,0.3012024744704192
2018-04-02,-0.44316046320793884,-0.18524670888624925,-0.9395832624572964,0.02368307135172497,0.35997037487005923
2018-04-03,-0.4731783352814357,-0.1745771106150295,-0.8589907523633319,0.027204705103003893,0.36162841205895097
2018-04-04,-0.4553951454820622,-0.17811411437869792,-1.0020877687288592,0.03125,0.3585034765777882
2018-04-05,-0.053364744583114514,-0.16407336939521383,-0.33519465782402047,0.03589682359365736,0.4088173282479064
