,stress_spike_pct,stress_cong_threshold,stress_cong_min_days,n_long,xlu_hedge,n_short,stress_day_pct,n_events,sharpe,ann_return,ann_vol,max_dd,hit_rate,sortino,stress_sharpe,calm_sharpe
44,0.99,0.3,10,3,False,5.0,55.6,91,0.145,0.0588,0.1294,-0.1609,0.481,0.191,0.977,-0.764
45,0.95,0.4,3,3,False,5.0,66.8,354,0.144,0.0599,0.1384,-0.2076,0.472,0.191,0.041,0.329
46,0.97,0.4,10,3,False,5.0,49.9,109,0.143,0.0582,0.127,-0.1526,0.469,0.192,1.003,-0.574
47,0.95,0.3,10,7,False,3.0,58.0,114,0.138,0.0571,0.1237,-0.1226,0.478,0.182,1.019,-0.809
48,0.99,0.3,10,5,False,3.0,55.6,91,0.134,0.0572,0.128,-0.1592,0.48,0.18,0.855,-0.637
49,0.95,0.3,10,7,False,5.0,58.0,114,0.133,0.0562,0.1217,-0.1318,0.481,0.173,1.016,-0.781
50,0.99,0.4,7,3,False,5.0,53.1,130,0.127,0.0562,0.127,-0.2505,0.477,0.171,0.783,-0.538
51,0.95,0.4,3,5,False,5.0,66.8,354,0.126,0.0564,0.1303,-0.2076,0.467,0.169,-0.001,0.336
52,0.95,0.3,3,5,False,3.0,72.6,347,0.12,0.0572,0.1426,-0.2076,0.479,0.152,0.084,0.207
53,0.97,0.3,3,5,False,3.0,72.1,340,0.119,0.057,0.1425,-0.2076,0.478,0.151,0.083,0.205
54,0.95,0.3,3,7,False,3.0,72.6,347,0.117,0.0563,0.1393,-0.2076,0.471,0.148,0.057,0.258
55,0.99,0.4,10,7,False,3.0,48.0,93,0.116,0.0543,0.1237,-0.2086,0.483,0.154,1.022,-0.592
56,0.95,0.4,3,7,False,5.0,66.8,354,0.115,0.0549,0.1293,-0.2076,0.468,0.153,-0.004,0.31
57,0.97,0.4,3,3,False,5.0,66.1,347,0.113,0.0559,0.1412,-0.2076,0.468,0.15,-0.067,0.44
58,0.95,0.3,3,5,False,5.0,72.6,347,0.111,0.0555,0.1395,-0.2076,0.472,0.141,0.051,0.254
59,0.97,0.3,3,5,False,5.0,72.1,340,0.111,0.0555,0.1395,-0.2076,0.472,0.141,0.062,0.227
60,0.97,0.3,3,7,False,3.0,72.1,340,0.11,0.0553,0.1392,-0.2076,0.471,0.139,0.06,0.226
61,0.95,0.4,10,3,False,3.0,51.2,116,0.108,0.055,0.1397,-0.1539,0.475,0.145,1.015,-0.702
62,0.97,0.5,3,5,False,5.0,59.9,342,0.106,0.0539,0.1311,-0.184,0.467,0.143,0.238,-0.052
63,0.95,0.4,7,7,False,5.0,55.9,153,0.104,0.0527,0.122,-0.1334,0.48,0.135,0.84,-0.607
64,0.99,0.4,10,3,False,3.0,48.0,93,0.103,0.0539,0.1347,-0.2135,0.474,0.14,0.978,-0.635
65,0.95,0.4,3,5,False,3.0,66.8,354,0.102,0.0538,0.1345,-0.2076,0.469,0.137,0.023,0.24
66,0.97,0.4,10,7,False,3.0,49.9,109,0.101,0.0526,0.1251,-0.1414,0.474,0.134,0.852,-0.503
67,0.95,0.4,10,5,False,5.0,51.2,116,0.1,0.0522,0.1221,-0.1226,0.473,0.132,0.911,-0.552
68,0.95,0.4,10,7,False,3.0,51.2,116,0.099,0.0524,0.125,-0.1231,0.481,0.131,1.102,-0.692
69,0.99,0.4,10,5,False,3.0,48.0,93,0.099,0.0528,0.1288,-0.1849,0.479,0.132,0.746,-0.423
70,0.97,0.4,10,3,False,3.0,49.9,109,0.099,0.0536,0.1374,-0.1795,0.466,0.13,0.859,-0.545
71,0.97,0.4,3,3,False,3.0,66.1,347,0.098,0.0549,0.1519,-0.2076,0.468,0.13,-0.036,0.369
72,0.97,0.5,3,3,False,3.0,59.9,342,0.098,0.0544,0.1461,-0.186,0.471,0.136,0.202,-0.047
73,0.97,0.3,3,7,False,5.0,72.1,340,0.096,0.0533,0.1387,-0.2076,0.472,0.12,0.038,0.227
74,0.95,0.3,3,7,False,5.0,72.6,347,0.096,0.0533,0.1387,-0.2076,0.472,0.12,0.028,0.254
75,0.99,0.4,7,3,False,3.0,53.1,130,0.095,0.0536,0.143,-0.2916,0.476,0.128,0.731,-0.649
