,stress_spike_pct,stress_cong_threshold,stress_cong_min_days,n_long,xlu_hedge,n_short,stress_day_pct,n_events,sharpe,ann_return,ann_vol,max_dd,hit_rate,sortino,stress_sharpe,calm_sharpe
214,0.95,0.3,7,5,True,,62.1,153,-0.469,-0.0089,0.1041,-0.3648,0.484,-0.585,-0.544,-0.327
215,0.95,0.3,10,5,True,,58.0,114,-0.473,-0.009,0.1036,-0.3648,0.481,-0.59,-0.565,-0.324
216,0.97,0.3,10,5,True,,57.1,107,-0.489,-0.0106,0.1035,-0.3648,0.481,-0.609,-0.629,-0.264
217,0.95,0.4,3,7,True,,66.8,354,-0.56,-0.0134,0.0953,-0.3385,0.484,-0.687,-0.331,-1.043
218,0.97,0.4,3,7,True,,66.1,347,-0.564,-0.0138,0.0954,-0.3385,0.483,-0.693,-0.376,-0.952
219,0.97,0.3,3,7,True,,72.1,340,-0.569,-0.0143,0.0955,-0.3385,0.489,-0.702,-0.56,-0.594
220,0.99,0.5,7,7,True,,45.9,127,-0.571,-0.0161,0.0983,-0.3648,0.479,-0.713,-0.208,-0.915
221,0.95,0.3,3,7,True,,72.6,347,-0.573,-0.0147,0.0955,-0.3385,0.488,-0.708,-0.546,-0.652
222,0.99,0.5,10,7,True,,39.6,85,-0.574,-0.0164,0.0982,-0.3648,0.479,-0.717,-0.286,-0.799
223,0.99,0.4,3,7,True,,64.6,331,-0.575,-0.0148,0.0954,-0.3385,0.481,-0.707,-0.438,-0.844
224,0.99,0.3,3,7,True,,71.2,324,-0.579,-0.0153,0.0955,-0.3385,0.486,-0.716,-0.602,-0.518
225,0.97,0.4,10,7,True,,49.9,109,-0.583,-0.0167,0.0973,-0.3648,0.482,-0.72,-0.557,-0.611
226,0.97,0.5,3,7,True,,59.9,342,-0.583,-0.0167,0.0973,-0.3648,0.482,-0.72,-0.382,-0.924
227,0.95,0.5,3,7,True,,60.6,349,-0.583,-0.0167,0.0973,-0.3648,0.482,-0.72,-0.341,-1.004
228,0.95,0.4,7,7,True,,55.9,153,-0.583,-0.0167,0.0973,-0.3648,0.482,-0.72,-0.471,-0.732
229,0.95,0.4,10,7,True,,51.2,116,-0.583,-0.0167,0.0973,-0.3648,0.482,-0.72,-0.508,-0.666
230,0.97,0.4,7,7,True,,54.9,146,-0.583,-0.0167,0.0973,-0.3648,0.482,-0.72,-0.521,-0.663
231,0.99,0.5,3,7,True,,58.1,326,-0.585,-0.0169,0.0973,-0.3648,0.481,-0.721,-0.448,-0.807
232,0.97,0.3,7,7,True,,61.6,146,-0.589,-0.0172,0.097,-0.3648,0.482,-0.727,-0.784,-0.245
233,0.95,0.3,10,7,True,,58.0,114,-0.589,-0.0172,0.097,-0.3648,0.482,-0.727,-0.803,-0.258
234,0.95,0.3,7,7,True,,62.1,153,-0.589,-0.0172,0.097,-0.3648,0.482,-0.727,-0.754,-0.293
235,0.97,0.3,10,7,True,,57.1,107,-0.589,-0.0172,0.097,-0.3648,0.482,-0.727,-0.845,-0.203
236,0.97,0.5,7,7,True,,48.0,143,-0.59,-0.0175,0.0973,-0.3648,0.478,-0.73,-0.178,-1.001
237,0.95,0.5,7,7,True,,49.1,150,-0.59,-0.0175,0.0973,-0.3648,0.478,-0.73,-0.127,-1.065
238,0.95,0.5,10,7,True,,42.9,108,-0.595,-0.0179,0.0973,-0.3648,0.479,-0.736,-0.199,-0.93
239,0.97,0.5,10,7,True,,41.6,101,-0.595,-0.0179,0.0973,-0.3648,0.479,-0.736,-0.247,-0.88
240,0.99,0.4,7,7,True,,53.1,130,-0.596,-0.0179,0.0973,-0.3648,0.479,-0.737,-0.581,-0.614
241,0.99,0.3,10,7,True,,55.6,91,-0.6,-0.0184,0.0973,-0.3648,0.479,-0.742,-0.889,-0.182
242,0.99,0.4,10,7,True,,48.0,93,-0.6,-0.0184,0.0973,-0.3648,0.479,-0.742,-0.614,-0.587
243,0.99,0.3,7,7,True,,60.4,130,-0.606,-0.0188,0.097,-0.3648,0.479,-0.75,-0.834,-0.216
