ticker,quarter_end,availability_date,metric_value,metric_unit,disclosure_type,segment_scope,source_url,notes
PWR,2024-03-31,2024-05-02,14880000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001050915/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
PWR,2024-06-30,2024-08-01,14370000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001050915/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
PWR,2024-09-30,2024-10-31,15610000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001050915/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
PWR,2024-12-31,2025-02-20,16760000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001050915/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
PWR,2025-03-31,2025-05-01,17650000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001050915/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
PWR,2025-06-30,2025-07-31,19160000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001050915/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
PWR,2025-09-30,2025-10-30,20970000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001050915/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
PWR,2025-12-31,2026-02-19,23760000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001050915/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
PWR,2026-03-31,2026-04-30,26240000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001050915/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
PWR,2026-06-30,2026-07-30,33550000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001050915/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
VRT,2022-12-31,2023-02-22,4800000000,USD,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/1674101/000162828023004432/exhibit991vrt02222023.htm,Q4-22 earnings release EX-99.1: 'backlog ... was $4.8 billion'
VRT,2023-09-30,2023-10-25,5000000000,USD,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/1674101/000162828023035032/q32023exhibit991vrt102523.htm,Q3-23 earnings release EX-99.1: 'Record high $5.0 billion backlog'
VRT,2023-12-31,2024-02-21,5500000000,USD,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/1674101/000162828024005765/exhibit991vrt02212024.htm,"Q4-23 earnings release EX-99.1: 'Record high $5.5 billion backlog'; 10-K Item 1 states $5,526.7M"
VRT,2024-03-31,2024-04-24,6300000000,USD,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/1674101/000162828024017513/q12024exhibit991vrt042424.htm,Q1-24 earnings release EX-99.1: 'record high $6.3 billion backlog'
VRT,2024-12-31,2025-02-18,7200000000,USD,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/1674101/000162828025005905/vrt-20241231.htm,"FY2024 10-K: 'estimated combined order backlog was $7.2 billion'; Item 1 states $7,178.8M (Q4-24 release did not quantify)"
VRT,2025-03-31,2025-04-23,7900000000,USD,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/1674101/000162828025018915/q12025exhibit991vrt042325.htm,Q1-25 earnings release EX-99.1: 'backlog increased to $7.9 billion'
VRT,2025-06-30,2025-07-30,8500000000,USD,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/1674101/000167410125000006/q22025exhibit991vrt7302025.htm,Q2-25 earnings release EX-99.1: 'growing backlog of $8.5 billion'
VRT,2025-09-30,2025-10-22,9500000000,USD,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/1674101/000167410125000020/q32025exhibit991vrt10222025.htm,Q3-25 earnings release EX-99.1: 'backlog increased to $9.5 billion'
VRT,2025-12-31,2026-02-11,15000000000,USD,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/1674101/000167410126000006/exhibit991vrt02112026.htm,Q4-25 earnings release EX-99.1: 'backlog increased to $15.0 billion'; 10-K Item 1 'approximately $15.0 billion'
